,Unnamed: 0,name,att,mid,def,ovr,rank
0,0,france,88,85,83,85,4
1,1,germany,82,85,82,85,11
2,2,england,85,83,83,84,5
3,3,portugal,84,84,84,84,9
4,5,spain,82,84,83,84,7
5,6,argentina,86,82,81,83,3
6,7,belgium,86,80,80,82,2
7,8,netherlands,82,81,83,82,8
8,9,brazil,81,80,80,80,1
9,10,croatia,80,83,78,80,12
10,11,mexico,79,77,76,78,13
11,12,denmark,77,82,78,78,10
12,13,poland,81,76,75,77,26
13,18,morocco,77,74,78,76,22
14,21,usa,74,76,74,75,16
15,22,wales,75,74,73,74,19
16,23,ghana,73,76,73,74,61
17,24,canada,75,73,70,73,41
18,27,australia,72,72,70,72,38
19,30,qatar,71,70,68,69,50
20,35,ecuador,70,73,73,72,44
21,36,senegal,76,78,75,75,18
22,37,ir iran,75,71,70,71,20
23,38,saudi arabia,67,68,70,68,51
24,39,tunisia,71,71,70,70,30
25,40,costa rica,70,69,69,71,31
26,41,japan,73,76,73,73,24
27,42,serbia,79,80,74,76,21
28,43,switzerland,74,78,76,77,15
29,44,cameroon,75,71,71,71,43
30,45,uruguay,82,77,77,77,14
31,46,korea republic,75,72,71,72,28
